#Organism group,Host,Source type,Create date,Location,Food origin,Collection date,
Listeria monocytogenes,bovine,animal,2014-07-09T15:05:34Z,USA,Germany,1985,
Listeria monocytogenes,Bos taurus,,2015-05-01T20:05:15Z,Ireland,,2011-03,
Listeria monocytogenes,bovine,,2015-08-07T17:04:04Z,Switzerland,,2006,
Listeria monocytogenes,Bovine,,2015-08-10T22:14:40Z,USA:IL,,2015-04,
Listeria monocytogenes,Bos taurus,food,2015-10-09T18:17:12Z,USA,USA:AK,3/19/2013,
Listeria monocytogenes,Bos taurus,food,2015-10-09T18:17:12Z,USA,USA:AK,3/19/2013,
Listeria monocytogenes,Bos taurus,food,2015-11-13T15:19:18Z,USA,USA:AK,6/22/2011,
Listeria monocytogenes,Bos taurus,food,2015-11-13T15:19:18Z,USA,USA:AK,6/22/2011,
Listeria monocytogenes,Bos taurus,food,2015-11-13T15:19:18Z,USA,USA:AK,6/26/2011,
Listeria monocytogenes,Bos taurus,food,2015-11-13T15:19:18Z,USA,USA:AK,7/8/2011,
Listeria monocytogenes,bovine,animal,2015-12-23T20:02:19Z,Not Provided,Not Provided,,
Listeria monocytogenes,bovine,,2017-05-17T14:52:07Z,USA:WY,,,
Listeria monocytogenes,Bos taurus,animal,2017-09-28T16:43:24Z,USA,USA:SD,2017,
Listeria monocytogenes,Bos taurus,animal,2017-09-28T16:43:25Z,USA,USA:SD,2017,
Listeria monocytogenes,Bos taurus,animal,2017-09-28T18:40:44Z,USA,USA:NY,2000,
Listeria monocytogenes,Bos taurus,animal,2017-09-28T18:40:45Z,USA,USA:NY,2004,
Listeria monocytogenes,Bos taurus,animal,2017-09-28T18:40:46Z,USA,USA:SD,2017,
Listeria monocytogenes,Bos taurus,animal,2017-09-28T18:40:46Z,USA,USA:NY,2000,
Listeria monocytogenes,Bos taurus,animal,2017-09-28T18:40:53Z,USA,USA:NY,1989,
Listeria monocytogenes,Bos taurus,animal,2017-09-28T20:43:05Z,USA,USA:NY,1995,
Listeria monocytogenes,Bos taurus,animal,2017-09-28T20:43:10Z,USA,USA:NY,1995,
