#Organism group,Host,Source type,Create date,Location,Food origin,Collection date
"Listeria monocytogenes","Gallus gallus","animal","2014-09-06T03:06:19Z","USA","United Kingdom","1961"
"Listeria monocytogenes","Gallus gallus","animal","2014-12-13T01:11:22Z","USA","United Kingdom","1961"
"Listeria monocytogenes","chicken",,"2015-12-01T14:51:35Z","United Kingdom: England",,"1961"
"Listeria monocytogenes","chicken",,"2015-12-01T14:52:07Z","United Kingdom: England",,"1961"
"Listeria monocytogenes","Chicken",,"2015-12-15T17:23:38Z","USA",,"1959"
"Listeria monocytogenes","Chicken",,"2015-12-15T17:23:38Z",,,
"Listeria monocytogenes","Chicken",,"2018-12-20T18:46:37Z","Taiwan: Taichung City",,"2016"
"Listeria monocytogenes","Chicken",,"2018-12-20T18:46:37Z","Taiwan: Taichung City",,"2016"
"Listeria monocytogenes","Chicken",,"2018-12-20T18:46:45Z","Taiwan: Taichung City",,"2016"
"Listeria monocytogenes","Chicken",,"2018-12-20T18:46:47Z","Taiwan: Taichung City",,"2016"
"Listeria monocytogenes","Chicken",,"2018-12-20T18:46:52Z","Taiwan: Taichung City",,"2016"
"Listeria monocytogenes","Chicken",,"2018-12-20T18:46:53Z","Taiwan: Taichung City",,"2016"
"Listeria monocytogenes","Chicken",,"2018-12-20T18:46:53Z","Taiwan: Taichung City",,"2016"
"Listeria monocytogenes","Chicken",,"2018-12-20T18:46:54Z","Taiwan: Taichung City",,"2016"
"Listeria monocytogenes","Chicken",,"2018-12-20T18:46:54Z","Taiwan: Taichung City",,"2016"
"Listeria monocytogenes","Chicken",,"2018-12-20T18:47:01Z","Taiwan: Taichung City",,"2016"
"Listeria monocytogenes","Chicken",,"2018-12-20T18:47:02Z","Taiwan: Taichung City",,"2016"
"Listeria monocytogenes","Chicken",,"2018-12-20T18:47:02Z","Taiwan: Taichung City",,"2016"
"Listeria monocytogenes","Chicken",,"2018-12-20T18:47:02Z","Taiwan: Taichung City",,"2016"
"Listeria monocytogenes","Chicken",,"2018-12-20T18:47:02Z","Taiwan: Taichung City",,"2016"
"Listeria monocytogenes","Chicken",,"2018-12-20T18:47:02Z","Taiwan: Taichung City",,"2016"
"Listeria monocytogenes","Chicken",,"2018-12-20T18:47:03Z","Taiwan: Taichung City",,"2016"
"Listeria monocytogenes","Chicken",,"2018-12-20T18:47:03Z","Taiwan: Taichung City",,"2016"
"Listeria monocytogenes","Chicken",,"2018-12-20T18:47:03Z","Taiwan: Taichung City",,"2016"
"Listeria monocytogenes","chicken",,"2020-07-02T03:10:15Z","Finland:Helsinki",,"1992"
"Listeria monocytogenes","chicken",,"2020-07-02T03:17:08Z","Finland:Helsinki",,"1999"
"Listeria monocytogenes","chicken",,"2020-07-02T03:23:23Z","Finland:Helsinki",,"1999/2001"
"Listeria monocytogenes","chicken",,"2020-07-02T03:30:24Z","Finland:Helsinki",,"1999/2001"
"Listeria monocytogenes","chicken",,"2020-07-02T03:33:20Z","Finland:Helsinki",,"2000"
"Listeria monocytogenes","chicken",,"2020-07-02T03:51:19Z","Finland:Helsinki",,"1999/2001"
"Listeria monocytogenes","chicken",,"2020-07-02T03:51:33Z","Finland:Helsinki",,"1999/2001"
"Listeria monocytogenes","chicken",,"2020-07-02T03:56:28Z","Finland:Helsinki",,"1998"
"Listeria monocytogenes","chicken",,"2020-07-02T04:15:21Z","Switzerland: Zurich",,"2012"
"Listeria monocytogenes","chicken",,"2020-07-02T04:52:32Z","Switzerland: Zurich",,"2011"
"Listeria monocytogenes","chicken",,"2020-07-02T04:56:33Z","Switzerland: Zurich",,"2011"
"Listeria monocytogenes","Gallus gallus domesticus","animal","2021-04-21T18:20:59Z","USA:NH",,"2020-11"
"Listeria monocytogenes","chicken",,"2022-05-06T20:15:46Z","China:Shanghai",,"2016-06-14"
"Listeria monocytogenes","chicken",,"2022-11-25T03:17:52Z","South Korea: Seoul",,"2004-03-23"
"Listeria monocytogenes","chicken",,"2022-11-25T03:17:59Z","South Korea: Seoul",,"2004-05-11"
"Listeria monocytogenes","chicken",,"2022-11-25T03:18:10Z","South Korea: Seoul",,"2004-08-11"
"Listeria monocytogenes","Gallus gallus domesticus","animal","2023-07-06T18:50:26Z","USA:NJ",,"2022-12"
"Listeria monocytogenes","chicken",,"2025-08-05T16:02:06Z","China:Yantai, Shandong",,"2021"
"Salmonella enterica","Gallus gallus domesticus","animal","2015-02-11T06:08:33Z","USA","USA:WA","2003-07-25"
"Salmonella enterica","Gallus gallus","animal","2013-08-28T15:32:39Z","USA:WA","USA:WA","2009-11-06"
"Salmonella enterica","Gallus gallus","animal","2013-08-28T15:32:39Z","USA:WA","USA:WA","2009-11-06"
"Salmonella enterica","Gallus gallus","animal","2013-08-28T15:32:39Z","USA:WA","USA:WA","2009-11-10"
"Salmonella enterica","Gallus gallus","animal","2013-08-28T15:32:39Z","USA:WA","USA:WA","2009-11-06"
"Salmonella enterica","Gallus gallus","animal","2013-08-28T15:32:39Z","USA:WA","USA:WA","2009-11-06"
"Salmonella enterica","Gallus gallus domesticus","animal","2015-02-11T06:08:35Z","USA","USA:WA","2005-04-25"
"Salmonella enterica","Gallus gallus","animal","2018-06-26T23:04:13Z","USA:VA",,"2013-08-08"
"Salmonella enterica","Gallus gallus domesticus","animal","2015-02-11T17:10:01Z","USA","USA:WA","2012-04-18"
"Salmonella enterica","Gallus gallus",,"2015-12-15T21:22:26Z","USA:PA",,"1987"
"Salmonella enterica","chicken","animal","2015-02-11T17:10:02Z","USA:MN",,"2012-06-12"
"Salmonella enterica","chicken","animal","2015-02-11T17:10:02Z","USA:MN",,
"Salmonella enterica","Gallus gallus",,"2015-12-15T21:22:24Z","USA:MD",,"1987"
"Salmonella enterica","Gallus gallus",,"2015-12-15T21:22:22Z","USA:PA",,"2011"
"Salmonella enterica","Gallus gallus","animal","2015-12-15T21:22:22Z",,,"2003"
"Salmonella enterica","Gallus gallus",,"2015-12-17T20:24:37Z",,,"2005"
"Salmonella enterica","Gallus gallus","food","2015-12-17T20:24:37Z",,,"2009"
"Salmonella enterica","Gallus gallus",,"2015-12-17T20:24:37Z",,,"2010"
"Salmonella enterica","Gallus gallus",,"2015-12-17T20:24:37Z",,,"2010"
"Salmonella enterica","Gallus gallus",,"2015-12-17T20:24:37Z",,,"2010"
"Salmonella enterica","Gallus gallus",,"2015-12-17T20:24:37Z",,,"2010"
"Salmonella enterica","Gallus gallus",,"2015-12-17T20:24:37Z",,,"2010"
"Salmonella enterica","Gallus gallus",,"2015-12-17T20:24:37Z",,,"2010"
