#Organism group,Host,Source type,Create date,Location,Food origin,Collection date
"Listeria monocytogenes","porcine","animal","2015-12-23T20:04:50Z","USA","Germany","1975"
"Listeria monocytogenes","porcine","animal","2018-10-02T19:18:46Z","USA","Germany","1975"
"Listeria monocytogenes","Sus scrofa domesticus","animal","2019-08-02T22:30:41Z","USA:OH",,"2018-06-20"
"Listeria monocytogenes","pig",,"2020-07-02T03:53:32Z","Finland:Helsinki",,"2003"
"Listeria monocytogenes","Sus scrofa domesticus",,"2020-08-26T15:58:04Z","Russia: Moscow",,"1965-01-13"
"Listeria monocytogenes","Sus scrofa",,"2020-12-28T15:20:44Z","Spain",,"2018-11-17"
"Listeria monocytogenes","Sus scrofa",,"2020-12-28T15:20:44Z","Spain",,"2018-11-17"
"Listeria monocytogenes","Sus scrofa",,"2020-12-28T15:20:45Z","Spain",,"2018-11-17"
"Listeria monocytogenes","Sus scrofa",,"2020-12-28T15:20:45Z","Spain",,"2018-11-17"
"Listeria monocytogenes","Sus scrofa",,"2020-12-28T15:20:45Z","Spain",,"2018-11-17"
"Listeria monocytogenes","Sus scrofa",,"2020-12-28T15:20:46Z","Spain",,"2019-02-02"
"Listeria monocytogenes","Sus scrofa",,"2020-12-28T15:20:46Z","Spain",,"2019-11-05"
"Listeria monocytogenes","Sus scrofa",,"2020-12-28T15:20:46Z","Spain",,"2019-11-05"
"Listeria monocytogenes","Sus scrofa",,"2020-12-28T15:20:47Z","Spain",,"2019-11-05"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:09Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:09Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:09Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:09Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:09Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:10Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:10Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:10Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:10Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:11Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:11Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:11Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:11Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:11Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:12Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:12Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:12Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:12Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:12Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:13Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:13Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:13Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:13Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:14Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:14Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:14Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:14Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:14Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:15Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:15Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:15Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:15Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:16Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:16Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:16Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:16Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:16Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:17Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:17Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:17Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:17Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:17Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:17Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:18Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:18Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:18Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:18Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:19Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:19Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:19Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:19Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:19Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:20Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:20Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:20Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:20Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:20Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:21Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T11:43:21Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2022-12-18T20:40:04Z","China",,"2019-01"
"Listeria monocytogenes","pig",,"2023-06-07T07:27:28Z","South Korea",,"2015-03-31"
"Listeria monocytogenes","pig",,"2023-06-07T07:28:46Z","South Korea",,"2015-05-20"
"Listeria monocytogenes","pig",,"2023-06-07T07:29:20Z","South Korea",,"2015-10-13"
"Listeria monocytogenes","pig",,"2023-06-07T07:31:16Z","South Korea",,"2016-05-02"
"Listeria monocytogenes","pig",,"2023-06-07T07:31:34Z","South Korea",,"2016-05-18"
"Listeria monocytogenes","pig",,"2023-06-07T07:32:20Z","South Korea",,"2021-12-02"
"Listeria monocytogenes","pig",,"2023-06-07T07:35:12Z","South Korea",,"2021-07-14"
"Listeria monocytogenes","pig",,"2023-06-07T07:42:15Z","South Korea",,"2020-07-21"
"Listeria monocytogenes","pig",,"2023-06-07T07:48:41Z","South Korea",,"2019-05-28"
"Listeria monocytogenes","pig",,"2023-09-14T03:58:21Z","South Korea",,"2014-12-16"
"Listeria monocytogenes","pig",,"2023-09-14T03:59:11Z","South Korea",,"2014-12-16"
"Salmonella enterica","porcine","animal","2015-02-11T17:09:57Z","USA:MN",,"2012-05-30"
"Salmonella enterica","porcine","animal","2015-02-11T17:09:59Z","USA:MN",,"2012-09-03"
"Salmonella enterica","porcine","animal","2015-02-11T17:10:02Z","USA:MN",,"2011-09-26"
"Salmonella enterica","porcine","animal","2015-02-11T17:10:02Z","USA:MN",,"2011-06-30"
"Salmonella enterica","porcine","animal","2015-02-11T17:10:02Z","USA:MN",,"2011-06-23"
"Salmonella enterica","porcine","animal","2015-02-11T17:10:02Z","USA:MN",,"2011-11-08"
"Salmonella enterica","porcine","animal","2015-02-11T17:10:02Z","USA:MN",,"2012-04-13"
"Salmonella enterica","porcine","animal","2015-02-11T17:10:03Z","USA:MN",,"2010-12-22"
"Salmonella enterica","porcine","animal","2015-02-11T17:10:04Z","USA:MN",,"2011-01-05"
"Salmonella enterica","porcine","animal","2015-02-11T17:10:03Z","USA:MN",,"2011-02-28"
"Salmonella enterica","porcine","animal","2015-02-11T17:10:04Z","USA:MN",,"2011-03-25"
"Salmonella enterica","porcine","animal","2015-02-11T17:10:03Z","USA:MN",,"2011-04-20"
"Salmonella enterica","porcine","animal","2015-02-11T17:10:04Z","USA:MN",,"2011-04-29"
"Salmonella enterica","porcine","animal","2015-02-11T17:10:03Z","USA:MN",,"2011-05-06"
"Salmonella enterica","porcine","animal","2015-02-11T17:10:04Z","USA:MN",,"2011-02-17"
"Salmonella enterica","porcine","animal","2015-02-11T17:10:04Z","USA:MN",,"2010-10-05"
"Salmonella enterica","porcine","animal","2015-02-11T17:10:04Z","USA:MN",,"2010-10-20"
"Salmonella enterica","porcine","animal","2015-02-11T17:10:04Z","USA:MN",,"2011-04-12"
"Salmonella enterica","porcine","animal","2015-02-11T17:10:04Z","USA:MN",,"2010-09-15"
"Salmonella enterica","porcine","animal","2015-02-11T17:10:04Z","USA:MN",,"2010-09-08"
"Salmonella enterica","porcine","animal","2015-02-11T17:10:04Z","USA:MN",,"2010-09-22"
"Salmonella enterica","porcine","animal","2015-02-11T17:10:04Z","USA:MN",,"2010-11-17"
"Salmonella enterica","porcine","animal","2015-02-11T17:10:04Z","USA:MN",,"2010-12-09"
