#Organism group,Host,Source type,Create date,Location,Food origin,Collection date
"Listeria monocytogenes","sheep",,"2014-12-09T15:55:01Z","China:Jiangsu",,"2011"
"Listeria monocytogenes","sheep",,"2015-12-01T14:52:45Z","USA",,"1961"
"Listeria monocytogenes","ovine",,"2015-12-15T17:23:38Z","New Zealand",,"1931"
"Listeria monocytogenes","Sheep",,"2015-12-15T17:23:38Z","USA",,"1971"
"Listeria monocytogenes","Ovine","animal","2016-01-21T16:24:18Z","USA",,
"Listeria monocytogenes","Ovine","animal","2016-01-21T16:24:19Z",,,
"Listeria monocytogenes","sheep","animal","2016-05-10T00:15:30Z","USA:CA","USA:CA","2015-10-09"
"Listeria monocytogenes","ovine","animal","2016-10-13T13:32:13Z",,,
"Listeria monocytogenes","ovine","animal","2016-10-13T13:34:18Z",,,
"Listeria monocytogenes","ovine","animal","2016-10-13T13:40:09Z",,,"2004-05-18"
"Listeria monocytogenes","ovine","animal","2016-10-13T13:40:22Z",,,"2004-06-12"
"Listeria monocytogenes","goat",,"2017-05-01T20:01:00Z","China:Jiangsu",,"2011"
"Listeria monocytogenes","sheep",,"2020-07-02T03:11:12Z","Finland:Helsinki",,"1986"
"Listeria monocytogenes","sheep",,"2020-07-02T03:11:19Z","Finland:Helsinki",,"1987"
"Listeria monocytogenes","sheep",,"2020-07-02T03:46:21Z","Finland:Helsinki",,"1998"
"Listeria monocytogenes","goat",,"2020-07-02T04:37:46Z","Switzerland: Zurich",,"2013"
"Listeria monocytogenes","sheep",,"2020-12-08T06:41:54Z","USA:Kentucky",,"2014-07"
"Listeria monocytogenes","ovine","animal","2021-08-17T15:25:54Z","USA:MI",,"2019-05-07"
"Listeria monocytogenes","ovine","animal","2021-08-17T15:25:55Z","USA:MI",,"2019-07-18"
"Listeria monocytogenes","ovine","animal","2021-08-17T15:25:56Z","USA:MI",,"2019-07-18"
"Listeria monocytogenes","ovine","animal","2021-10-04T02:25:33Z","USA:MI",,
"Listeria monocytogenes","ovine","animal","2021-10-04T02:25:49Z","USA:MI",,
"Listeria monocytogenes","sheep",,"2022-01-09T13:05:08Z","USA: Georgia",,"1997-05"
"Listeria monocytogenes","ovine","animal","2022-02-08T02:28:48Z","USA:MI",,"2015-01-01"
"Listeria monocytogenes","ovine","animal","2023-07-07T00:54:45Z","USA:WI",,"2019"
"Listeria monocytogenes","sheep",,"2024-02-04T04:06:36Z","Russia",,"1965"
"Listeria monocytogenes","sheep",,"2024-02-04T04:06:42Z","Russia",,"1963"
"Listeria monocytogenes","sheep",,"2024-02-04T05:01:21Z","Russia",,"1963"
"Listeria monocytogenes","sheep",,"2025-03-05T04:05:15Z","France",,"1992"
"Listeria monocytogenes","Sheep",,"2025-08-06T06:16:22Z","USA: California",,"2019-04-11"
"Salmonella enterica","ovine","animal","2015-02-11T14:09:23Z","USA","USA:WA","2004"
"Salmonella enterica","ovine","animal","2015-02-11T03:08:36Z","USA:VA",,"2005-11-10"
"Salmonella enterica","ovine","animal","2015-02-10T21:10:07Z","USA:SD",,"2002-10-04"
"Salmonella enterica","ovine","animal","2015-02-10T21:10:10Z","USA:MN",,"2002-08-27"
"Salmonella enterica","ovine","animal","2015-02-10T21:10:15Z","USA:CO","USA:CO","2007-01-09"
"Salmonella enterica","Ovine","animal","2015-02-10T21:10:15Z","USA:WA","USA:WA","2007-01-09"
"Salmonella enterica","Ovine","animal","2014-08-01T21:04:53Z","USA:WA","USA:WA","2007-01-09"
"Salmonella enterica","Ovine","animal","2014-08-11T23:04:52Z","USA:WA","USA:WA","2007-01-09"
"Salmonella enterica","ovine","animal","2015-02-10T20:10:53Z","USA:MN",,"2003-07-30"
"Salmonella enterica","ovine","animal","2015-02-10T17:09:44Z","USA:MN",,"2004-10-27"
"Salmonella enterica","ovine",,"2015-08-05T05:03:47Z","United Kingdom: Scotland",,"1994"
"Salmonella enterica","ovine",,"2015-08-05T05:03:59Z","United Kingdom: Scotland",,"1994"
"Salmonella enterica","ovine",,"2015-08-05T05:04:31Z","United Kingdom: Scotland",,"1995"
"Salmonella enterica","ovine",,"2015-08-05T05:05:11Z","United Kingdom: England",,"2002"
"Salmonella enterica","ovine",,"2015-08-05T05:05:18Z","United Kingdom: Scotland",,"1995"
"Salmonella enterica","ovine",,"2015-08-05T05:06:28Z","United Kingdom: Scotland",,"1995"
"Salmonella enterica","ovine",,"2015-08-05T05:06:33Z","United Kingdom: Scotland",,"1996"
"Salmonella enterica","ovine",,"2015-08-05T05:08:14Z","United Kingdom: Scotland",,"1995"
"Salmonella enterica","ovine","animal","2016-02-05T15:24:47Z","Ethiopia",,"2005-01-01"
"Salmonella enterica","Ovine","animal","2016-02-05T15:24:47Z","Ethiopia",,"2005-01-01"
"Salmonella enterica","ovine","animal","2016-02-05T15:24:47Z","Ethiopia",,"2005-01-01"
"Salmonella enterica","ovine","animal","2016-02-05T15:24:47Z","Ethiopia",,"2005-01-01"
"Salmonella enterica","ovine","animal","2016-02-05T15:24:48Z","Ethiopia",,"2005-01-01"
"Salmonella enterica","ovine","animal","2017-02-06T16:33:24Z","USA:OH",,"2016"
"Salmonella enterica","ovine","animal","2018-06-21T17:12:29Z","USA:TX",,"2017"
"Salmonella enterica","ovine","animal","2018-06-21T17:12:30Z","USA:TX",,"2014"
"Salmonella enterica","ovine","animal","2018-06-21T17:12:48Z","USA:TX",,"2017"
"Salmonella enterica","ovine","animal","2018-06-21T19:09:11Z","USA:TX",,"2015"
"Salmonella enterica","ovine","animal","2018-06-21T23:09:21Z","USA:TX",,"2015"
"Salmonella enterica","ovine","animal","2018-06-22T05:12:59Z","USA:TX",,"2018"
"Salmonella enterica","ovine","animal","2018-06-22T11:10:49Z","USA:TX",,"2018"
